message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,business_update,"Verified business with domain match and active relationship, providing a transactional update relevant to the user's account.",0.95,message_0026
msg_091,mute,scam,Message requests OTP or credentials with account-block pressure.,0.95,
msg_090,digest,personal,"The message is a personal inquiry with no urgency, and the user has a history of opening and engaging with non-urgent messages, such as the book club update in message_0340.",0.8,message_0340
msg_048,mute,scam,Forwarded message with payment or verification pressure; likely phishing.,0.88,
msg_040,mute,forward,High-forward-count chain/blessing message; user historically ignores these.,0.9,
msg_075,notify,business_update,"The message is a ride update from a verified business with a domain match, and the user has a recent activity with the business, indicating a relevant and time-sensitive update.",0.9,
msg_005,notify,personal,"The message has a same-day explicit deadline and is directly addressed to the user with a clear ask, indicating time-sensitivity and personal urgency.",0.92,
msg_104,notify,personal,"The message has a same-day explicit deadline and requires the user's immediate decision, making it time-sensitive and actionable.",0.9,
msg_069,mute,greeting,High-forward-count morning/blessing message with no actionable content.,0.88,
msg_107,mute,scam,Message contains a prompt injection attempt to override routing rules.,0.97,
msg_070,mute,scam,Message requests OTP or credentials with account-block pressure.,0.95,
msg_003,notify,business_update,"The message is a transactional update from a verified business with a domain match, regarding an order that is expected to be delivered today, which is relevant to the user's recent activity.",0.92,
msg_099,notify,business_update,"The message is from a trusted sender, has a clear ask, and is time-sensitive with a deadline for the next day's standup meeting.",0.9,message_0249
msg_008,digest,promotion,"The message is a request for a review after a recent product purchase, which is relevant to the user's activity, and the user has not opted out of promotions from this business.",0.9,message_0298
msg_092,digest,business_update,"The message is a monthly card statement update from a verified business with a domain match, and the user has an active relationship with the business, but it's not time-sensitive or requiring immediate action.",0.9,
msg_060,notify,urgent,"Same-day explicit deadline and direct call to action from a trusted sender in a relevant group, with user having recent engagement history",0.92,message_0375
msg_004,notify,business_update,"The message is from a verified healthcare business with a domain match, and the user has an upcoming clinic appointment, making the message time-sensitive and relevant to the user's recent activity.",0.9,message_0005
msg_030,mute,promotion,"User has high dismissal history and the group is muted by the user, indicating low interest in such messages.",0.92,message_0336
msg_045,notify,urgent,The message has a same-day explicit deadline and requires immediate action from the user to confirm the package delivery.,0.95,message_0169
msg_052,mute,scam,"Business domain mismatch: official=talabat.com, sender uses=talabat-refund.com.",0.95,
msg_009,digest,event,"The message is not urgent and the user has muted the group, but the content is relevant to the group's purpose and does not contain any promotional material.",0.7,
msg_071,digest,event,"The message is about a potential plan but lacks a clear time, and the user has a moderate dismissal rate in the group, suggesting a non-urgent, informative message.",0.7,message_0198
msg_016,mute,scam,Message contains a known phishing or spoofed domain.,0.96,
msg_065,digest,promotion,"The message is a promotional offer from a verified business with a domain match, and the user has an active relationship and allows promotions, but it's not time-sensitive enough to warrant a notification.",0.92,message_0261
msg_038,mute,spam,"The message is a chain message with a generic 'good luck' claim and an instruction to forward to at least 10 people, which is typical of spam messages. The user has a history of dismissing similar messages (e.g., message_0082).",0.95,message_0082
msg_086,mute,scam,"Business domain mismatch: official=thrillophilia.com, sender uses=link.wame.pro.",0.95,
msg_014,mute,promotion,User has opted out of promotions from this business and has a history of dismissing similar messages,0.95,message_0052
msg_094,mute,promotion,"User has high dismissal history and reported similar messages, and the message is promotional in nature despite being from a verified sender.",0.92,
